comparison;codec;preset;sequence;crf;real bitrate;subjective
2018;x264;mv_ripping;red_kayak_sh;4000;0;3.887407049374603
2018;x265;mv_ripping;red_kayak_sh;1000;0;1.9883161185055624
2018;x265;mv_ripping;red_kayak_sh;2000;0;3.7284916189369413
2018;x265;mv_ripping;red_kayak_sh;4000;0;4.919266049165357
2018;intel_svt_hevc;mv_universal;red_kayak_sh;1000;0;1.863978656697602
2018;intel_svt_hevc;mv_universal;red_kayak_sh;2000;0;3.191626859471552
2018;intel_svt_hevc;mv_universal;red_kayak_sh;4000;0;4.383855603331262
2018;vitec_v3;mv_fast;red_kayak_sh;1000;0;2.8302213581302986
2018;vitec_v3;mv_fast;red_kayak_sh;2000;0;4.005337247533718
2018;vitec_v3;mv_fast;red_kayak_sh;4000;0;5.260946693065797
2019;bytedance;mv_subjective;crowd_run_short;1000;1230;2.0664099335720056
2019;bytedance;mv_subjective;crowd_run_short;2000;2455;3.94461537100974
2019;bytedance;mv_subjective;crowd_run_short;4000;4909;6.03557442610823
2019;huawei;mv_subjective;crowd_run_short;1000;1289;1.9076107362089734
2019;huawei;mv_subjective;crowd_run_short;2000;2494;4.3309404682246795
2019;huawei_20190725;mv_subjective;crowd_run_short;1000;1290;2.366795086436532
2019;huawei_20190725;mv_subjective;crowd_run_short;2000;2496;3.9860694496848206
2019;huawei_20190725;mv_subjective;crowd_run_short;4000;4792;6.008390444632953
2019;huawei;mv_subjective;crowd_run_short;4000;4947;6.2541818890872865
2019;mainconcept;mv_subjective;crowd_run_short;1000;1272;2.0829768583663535
2019;mainconcept;mv_subjective;crowd_run_short;2000;2547;4.076411146368077
2019;mainconcept;mv_subjective;crowd_run_short;4000;5113;5.808230198609726
2019;sif;mv_subjective;crowd_run_short;1000;1066;0.7568062476898985
2019;sif;mv_subjective;crowd_run_short;2000;2381;1.807949742005836
2019;sif;mv_subjective;crowd_run_short;4000;5001;4.19580011980355
2019;sz265;mv_subjective;crowd_run_short;1000;1272;1.8476965670243497
2019;sz265;mv_subjective;crowd_run_short;2000;2537;4.153482469007297
2019;sz265;mv_subjective;crowd_run_short;4000;5050;6.2662212470436796
2019;t265;mv_subjective;crowd_run_short;1000;1241;2.3032487773585686
2019;t265;mv_subjective;crowd_run_short;2000;2513;3.9736013047734104
2019;t265;mv_subjective;crowd_run_short;4000;5026;6.253043118782033
2019;uc265;mv_subjective;crowd_run_short;1000;1252;1.4977559266692944
2019;uc265;mv_subjective;crowd_run_short;2000;2504;3.9986335157665236
2019;uc265;mv_subjective;crowd_run_short;4000;4999;6.220226545166396
2019;venc;mv_subjective;crowd_run_short;1000;3619;5.703604808169216
2019;venc;mv_subjective;crowd_run_short;2000;3842;6.108608967175463
2019;venc;mv_subjective;crowd_run_short;4000;4495;6.230733275190294
2019;vp9;mv_subjective;crowd_run_short;1000;1616;1.9528992155868883
2019;vp9;mv_subjective;crowd_run_short;2000;2610;4.119688355329167
2019;vp9;mv_subjective;crowd_run_short;4000;5003;6.140921483809624
2019;x264;mv_subjective;crowd_run_short;1000;1246;0
2019;x264;mv_subjective;crowd_run_short;2000;2498;2.499984262711732
