Reference,Distorted,Metric,Metric_val,Mask,Subjective
OldTownCross_25fps.yuv,OldTownCross_55_480_750.yuv,ssim,0.7786,True,55
OldTownCross_25fps.yuv,OldTownCross_60_480_1750.yuv,ssim,0.8012,True,60
OldTownCross_25fps.yuv,OldTownCross_80_720_2350.yuv,ssim,0.8707,True,80
OldTownCross_25fps.yuv,OldTownCross_85_720_2950.yuv,ssim,0.8745,True,85
OldTownCross_25fps.yuv,OldTownCross_90_1080_4300.yuv,ssim,0.9005,True,90
OldTownCross_25fps.yuv,OldTownCross_20_288_375.yuv,psnr,30.863,True,20
OldTownCross_25fps.yuv,OldTownCross_45_384_750.yuv,psnr,32.141,True,45
OldTownCross_25fps.yuv,OldTownCross_55_480_750.yuv,psnr,33.318,True,55
OldTownCross_25fps.yuv,OldTownCross_60_480_1750.yuv,psnr,33.785,True,60
OldTownCross_25fps.yuv,OldTownCross_80_720_2350.yuv,psnr,36.657,True,80
OldTownCross_25fps.yuv,OldTownCross_85_720_2950.yuv,psnr,36.819,True,85
OldTownCross_25fps.yuv,OldTownCross_90_1080_4300.yuv,psnr,39.194,True,90
OldTownCross_25fps.yuv,OldTownCross_20_288_375.yuv,vmaf,21.783,True,20
OldTownCross_25fps.yuv,OldTownCross_45_384_750.yuv,vmaf,41.63,True,45
OldTownCross_25fps.yuv,OldTownCross_55_480_750.yuv,vmaf,54.47,True,55
OldTownCross_25fps.yuv,OldTownCross_60_480_1750.yuv,vmaf,60.478,True,60
OldTownCross_25fps.yuv,OldTownCross_80_720_2350.yuv,vmaf,78.811,True,80
OldTownCross_25fps.yuv,OldTownCross_85_720_2950.yuv,vmaf,79.61,True,85
OldTownCross_25fps.yuv,OldTownCross_90_1080_4300.yuv,vmaf,93.35,True,90
Seeking_25fps.yuv,Seeking_10_288_375.yuv,ssim,0.6081,True,10
Seeking_25fps.yuv,Seeking_30_480_1050.yuv,ssim,0.7018,True,30
Seeking_25fps.yuv,Seeking_45_480_1750.yuv,ssim,0.7482,True,45
Seeking_25fps.yuv,Seeking_50_720_2350.yuv,ssim,0.7735,True,50
Seeking_25fps.yuv,Seeking_60_720_3050.yuv,ssim,0.7985,True,60
Seeking_25fps.yuv,Seeking_65_1080_4300.yuv,ssim,0.814,True,65
Seeking_25fps.yuv,Seeking_75_1080_5800.yuv,ssim,0.8409,True,75
Seeking_25fps.yuv,Seeking_85_1080_7500.yuv,ssim,0.8612,True,85
Seeking_25fps.yuv,Seeking_90_1080_15000.yuv,ssim,0.8983,True,90
Seeking_25fps.yuv,Seeking_95_1080_20000.yuv,ssim,0.9087,True,95
Seeking_25fps.yuv,Seeking_10_288_375.yuv,psnr,30.738,True,10
Seeking_25fps.yuv,Seeking_30_480_1050.yuv,psnr,32.857,True,30
Seeking_25fps.yuv,Seeking_45_480_1750.yuv,psnr,33.99,True,45
Seeking_25fps.yuv,Seeking_50_720_2350.yuv,psnr,34.681,True,50
Seeking_25fps.yuv,Seeking_60_720_3050.yuv,psnr,35.382,True,60
Seeking_25fps.yuv,Seeking_65_1080_4300.yuv,psnr,35.909,True,65
Seeking_25fps.yuv,Seeking_75_1080_5800.yuv,psnr,36.874,True,75
Seeking_25fps.yuv,Seeking_85_1080_7500.yuv,psnr,37.693,True,85
Seeking_25fps.yuv,Seeking_90_1080_15000.yuv,psnr,39.551,True,90
Seeking_25fps.yuv,Seeking_95_1080_20000.yuv,psnr,40.18,True,95
Seeking_25fps.yuv,Seeking_10_288_375.yuv,vmaf,14.398,True,10
Seeking_25fps.yuv,Seeking_30_480_1050.yuv,vmaf,37.672,True,30
