Reference,Distorted,Metric,Metric_val,Mask,Subjective
FoxBird_25fps.yuv,FoxBird_80_1080_2300.yuv,vmaf,94.545,False,80
FoxBird_25fps.yuv,FoxBird_95_1080_5800.yuv,vmaf,98.296,False,95
OldTownCross_25fps.yuv,OldTownCross_20_288_375.yuv,ssim,0.7081,False,20
OldTownCross_25fps.yuv,OldTownCross_45_384_750.yuv,ssim,0.7675,False,45
OldTownCross_25fps.yuv,OldTownCross_55_480_750.yuv,ssim,0.8015,False,55
OldTownCross_25fps.yuv,OldTownCross_60_480_1750.yuv,ssim,0.8198,False,60
OldTownCross_25fps.yuv,OldTownCross_80_720_2350.yuv,ssim,0.8648,False,80
OldTownCross_25fps.yuv,OldTownCross_85_720_2950.yuv,ssim,0.8678,False,85
OldTownCross_25fps.yuv,OldTownCross_90_1080_4300.yuv,ssim,0.8816,False,90
OldTownCross_25fps.yuv,OldTownCross_20_288_375.yuv,psnr,28.3,False,20
OldTownCross_25fps.yuv,OldTownCross_45_384_750.yuv,psnr,29.738,False,45
OldTownCross_25fps.yuv,OldTownCross_55_480_750.yuv,psnr,30.851,False,55
OldTownCross_25fps.yuv,OldTownCross_60_480_1750.yuv,psnr,31.435,False,60
OldTownCross_25fps.yuv,OldTownCross_80_720_2350.yuv,psnr,33.877,False,80
OldTownCross_25fps.yuv,OldTownCross_85_720_2950.yuv,psnr,34.054,False,85
OldTownCross_25fps.yuv,OldTownCross_90_1080_4300.yuv,psnr,35.358,False,90
OldTownCross_25fps.yuv,OldTownCross_20_288_375.yuv,vmaf,25.352,False,20
OldTownCross_25fps.yuv,OldTownCross_45_384_750.yuv,vmaf,45.445,False,45
OldTownCross_25fps.yuv,OldTownCross_55_480_750.yuv,vmaf,57.587,False,55
OldTownCross_25fps.yuv,OldTownCross_60_480_1750.yuv,vmaf,63.626,False,60
OldTownCross_25fps.yuv,OldTownCross_80_720_2350.yuv,vmaf,80.545,False,80
OldTownCross_25fps.yuv,OldTownCross_85_720_2950.yuv,vmaf,81.376,False,85
OldTownCross_25fps.yuv,OldTownCross_90_1080_4300.yuv,vmaf,93.687,False,90
Seeking_25fps.yuv,Seeking_10_288_375.yuv,ssim,0.5961,False,10
Seeking_25fps.yuv,Seeking_30_480_1050.yuv,ssim,0.6943,False,30
Seeking_25fps.yuv,Seeking_45_480_1750.yuv,ssim,0.7418,False,45
Seeking_25fps.yuv,Seeking_50_720_2350.yuv,ssim,0.7742,False,50
Seeking_25fps.yuv,Seeking_60_720_3050.yuv,ssim,0.8003,False,60
Seeking_25fps.yuv,Seeking_65_1080_4300.yuv,ssim,0.8191,False,65
Seeking_25fps.yuv,Seeking_75_1080_5800.yuv,ssim,0.8467,False,75
Seeking_25fps.yuv,Seeking_85_1080_7500.yuv,ssim,0.8672,False,85
Seeking_25fps.yuv,Seeking_90_1080_15000.yuv,ssim,0.9038,False,90
Seeking_25fps.yuv,Seeking_95_1080_20000.yuv,ssim,0.9137,False,95
Seeking_25fps.yuv,Seeking_10_288_375.yuv,psnr,25.544,False,10
Seeking_25fps.yuv,Seeking_30_480_1050.yuv,psnr,27.472,False,30
Seeking_25fps.yuv,Seeking_45_480_1750.yuv,psnr,28.52,False,45
Seeking_25fps.yuv,Seeking_50_720_2350.yuv,psnr,29.381,False,50
Seeking_25fps.yuv,Seeking_60_720_3050.yuv,psnr,30.13,False,60
Seeking_25fps.yuv,Seeking_65_1080_4300.yuv,psnr,30.721,False,65
Seeking_25fps.yuv,Seeking_75_1080_5800.yuv,psnr,31.795,False,75
Seeking_25fps.yuv,Seeking_85_1080_7500.yuv,psnr,32.734,False,85
Seeking_25fps.yuv,Seeking_90_1080_15000.yuv,psnr,34.869,False,90
Seeking_25fps.yuv,Seeking_95_1080_20000.yuv,psnr,35.604,False,95
