,Unnamed: 0,index,Reference,Distorted,Metric,Metric_val,Mask,Subjective
81,81,213,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_45.mp4,niqe,8.3193,True,5.69721475860444
82,82,214,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_50.mp4,niqe,8.8405,True,4.513768049721605
83,83,191,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_50.mp4,niqe,7.414,False,4.513768049721605
84,84,259,light_show_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_light_show_29.mp4,niqe,11.568,True,5.196267720359377
85,85,235,light_show_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_light_show_29.mp4,niqe,8.4142,False,5.196267720359377
86,86,236,light_show_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_light_show_35.mp4,niqe,8.5859,False,4.7486099064758776
87,87,260,light_show_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_light_show_35.mp4,niqe,11.704,True,4.7486099064758776
88,88,237,light_show_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_light_show_41.mp4,niqe,8.8076,False,3.729597200249695
89,89,261,light_show_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_light_show_41.mp4,niqe,11.859,True,3.729597200249695
90,90,307,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_36.mp4,niqe,9.3568,True,2.840250767668131
91,91,283,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_36.mp4,niqe,8.406,False,2.840250767668131
92,92,284,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_40.mp4,niqe,8.5561,False,2.478476807190872
93,93,308,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_40.mp4,niqe,9.4991,True,2.478476807190872
94,94,309,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_44.mp4,niqe,9.7815,True,2.2101160738811627
95,95,285,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_44.mp4,niqe,8.7778,False,2.2101160738811627
96,96,331,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_41.mp4,niqe,8.7349,False,4.909338498488629
97,97,353,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_41.mp4,niqe,9.2126,True,4.909338498488629
98,98,332,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_45.mp4,niqe,8.5572,False,4.324195277834711
99,99,354,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_45.mp4,niqe,9.1258,True,4.324195277834711
100,100,355,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_50.mp4,niqe,8.9728,True,2.9425481509121214
101,101,333,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_50.mp4,niqe,8.2699,False,2.9425481509121214
102,102,399,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_31.mp4,niqe,12.496,True,3.828345257421128
103,103,375,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_31.mp4,niqe,10.427,False,3.828345257421128
104,104,376,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_36.mp4,niqe,10.581,False,3.755994467762024
105,105,400,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_36.mp4,niqe,12.497,True,3.755994467762024
106,106,401,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_42.mp4,niqe,12.785,True,3.1602915521960484
107,107,377,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_42.mp4,niqe,11.049,False,3.1602915521960484
108,108,3,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_33.mp4,niqe,5.7786,False,3.508857262275064
109,109,27,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_33.mp4,niqe,6.9724,True,3.508857262275064
110,110,28,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_39.mp4,niqe,7.0335,True,2.904513127142071
111,111,4,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_39.mp4,niqe,5.8102,False,2.904513127142071
112,112,29,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_45.mp4,niqe,7.0825,True,2.4058831927555038
113,113,5,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_45.mp4,niqe,5.8507,False,2.4058831927555038
114,114,51,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_44.mp4,niqe,5.5544,False,5.326823137182777
115,115,73,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_44.mp4,niqe,6.585,True,5.326823137182777
116,116,74,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_50.mp4,niqe,6.7522,True,4.123719547495732
117,117,52,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_50.mp4,niqe,5.7204,False,4.123719547495732
118,118,75,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_51.mp4,niqe,6.7524,True,3.769923327541314
119,119,53,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_51.mp4,niqe,5.732,False,3.769923327541314
180,180,453,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,niqe,10.999,True,5.5305848584583055
181,181,429,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,niqe,9.0028,False,5.5305848584583055
182,182,430,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,niqe,9.4328,False,5.4081835197032735
183,183,454,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,niqe,11.266,True,5.4081835197032735
184,184,431,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,niqe,9.7919,False,4.723917251086838
185,185,455,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,niqe,11.515,True,4.723917251086838
186,186,125,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,niqe,10.014,True,4.707687281577879
187,187,101,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,niqe,8.9757,False,4.707687281577879
188,188,126,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,niqe,10.14,True,3.588929372315943
189,189,102,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,niqe,8.7645,False,3.588929372315943
190,190,103,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,niqe,8.6643,False,2.01268752783576
191,191,127,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,niqe,10.274,True,2.01268752783576
192,192,172,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_54.mp4,niqe,6.3751,True,2.302250830294941
193,193,149,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_54.mp4,niqe,5.5335,False,2.302250830294941
194,194,150,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_60.mp4,niqe,5.5768,False,1.3644043762240956
195,195,173,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_60.mp4,niqe,6.6156,True,1.3644043762240956
196,196,151,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_63.mp4,niqe,5.6362,False,0.4990683681939778
197,197,174,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_63.mp4,niqe,6.9407,True,0.4990683681939778
198,198,218,happy_dog_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_happy_dog_52.mp4,niqe,8.2184,True,5.7599814108709
199,199,195,happy_dog_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_happy_dog_52.mp4,niqe,6.8559,False,5.7599814108709
200,200,196,happy_dog_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_happy_dog_60.mp4,niqe,7.2452,False,4.993022458738913
201,201,219,happy_dog_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_happy_dog_60.mp4,niqe,8.6688,True,4.993022458738913
202,202,197,happy_dog_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_happy_dog_63.mp4,niqe,7.5388,False,4.323544281838306
203,203,220,happy_dog_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_happy_dog_63.mp4,niqe,8.9578,True,4.323544281838306
204,204,241,light_show_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_light_show_34.mp4,niqe,8.4683,False,4.368277606545231
205,205,265,light_show_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_light_show_34.mp4,niqe,11.857,True,4.368277606545231
206,206,266,light_show_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_light_show_42.mp4,niqe,11.861,True,4.06048742621194
207,207,242,light_show_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_light_show_42.mp4,niqe,8.5495,False,4.06048742621194
208,208,267,light_show_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_light_show_52.mp4,niqe,11.902,True,3.5722602754630985
209,209,243,light_show_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_light_show_52.mp4,niqe,8.7517,False,3.5722602754630985
210,210,313,mountain_dog_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_mountain_dog_50.mp4,niqe,9.1735,True,2.2669291650695715
211,211,289,mountain_dog_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_mountain_dog_50.mp4,niqe,8.2674,False,2.2669291650695715
212,212,290,mountain_dog_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_mountain_dog_56.mp4,niqe,8.4212,False,1.9465434557358396
213,213,314,mountain_dog_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_mountain_dog_56.mp4,niqe,9.2945,True,1.9465434557358396
214,214,291,mountain_dog_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_mountain_dog_60.mp4,niqe,8.5164,False,1.5724487253834094
215,215,315,mountain_dog_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_mountain_dog_60.mp4,niqe,9.4331,True,1.5724487253834094
216,216,359,pool_underwater_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_pool_underwater_58.mp4,niqe,9.5178,True,4.5577894534108285
217,217,337,pool_underwater_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_pool_underwater_58.mp4,niqe,9.0668,False,4.5577894534108285
218,218,360,pool_underwater_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_pool_underwater_63.mp4,niqe,9.3994,True,3.3074719359342404
219,219,338,pool_underwater_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_pool_underwater_63.mp4,niqe,8.7375,False,3.3074719359342404
220,220,405,pumba_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_pumba_42.mp4,niqe,12.839,True,3.6090378947972974
221,221,381,pumba_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_pumba_42.mp4,niqe,12.526,False,3.6090378947972974
222,222,382,pumba_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_pumba_50.mp4,niqe,11.643,False,2.9343508605258863
223,223,406,pumba_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_pumba_50.mp4,niqe,13.082,True,2.9343508605258863
224,224,383,pumba_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_pumba_56.mp4,niqe,11.007,False,2.2230197978776816
225,225,407,pumba_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_pumba_56.mp4,niqe,13.112,True,2.2230197978776816
226,226,9,tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_40.mp4,niqe,5.6781,False,2.855420239463787
227,227,33,tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_40.mp4,niqe,6.825,True,2.855420239463787
228,228,34,tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_50.mp4,niqe,6.848,True,2.57965651113721
229,229,10,tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_50.mp4,niqe,5.7295,False,2.57965651113721
230,230,35,tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_58.mp4,niqe,6.9338,True,2.1836600272960727
231,231,11,tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_58.mp4,niqe,5.82,False,2.1836600272960727
232,232,79,winter_riding_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_winter_riding_61.mp4,niqe,6.6068,True,5.1940579378169724
233,233,57,winter_riding_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_winter_riding_61.mp4,niqe,5.5139,False,5.1940579378169724
234,234,58,winter_riding_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_winter_riding_63.mp4,niqe,5.758,False,4.832943160238411
235,235,80,winter_riding_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_winter_riding_63.mp4,niqe,6.8983,True,4.832943160238411
236,236,432,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,niqe,8.6129,False,5.579203281635387
237,237,456,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,niqe,10.696,True,5.579203281635387
238,238,433,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,niqe,8.8492,False,5.108962307167965
239,239,457,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,niqe,10.817,True,5.108962307167965
240,240,434,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,niqe,9.1288,False,3.893108075587005
241,241,458,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,niqe,10.969,True,3.893108075587005
