,index,Reference,Distorted,Metric,Metric_val,Mask
89,261,light_show_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_light_show_41.mp4,niqe,11.859,True
90,307,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_36.mp4,niqe,9.3568,True
91,283,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_36.mp4,niqe,8.406,False
92,284,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_40.mp4,niqe,8.5561,False
93,308,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_40.mp4,niqe,9.4991,True
94,309,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_44.mp4,niqe,9.7815,True
95,285,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_mountain_dog_44.mp4,niqe,8.7778,False
96,331,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_41.mp4,niqe,8.7349,False
97,353,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_41.mp4,niqe,9.2126,True
98,332,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_45.mp4,niqe,8.5572,False
99,354,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_45.mp4,niqe,9.1258,True
100,355,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_50.mp4,niqe,8.9728,True
101,333,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_pool_underwater_50.mp4,niqe,8.2699,False
102,399,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_31.mp4,niqe,12.496,True
103,375,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_31.mp4,niqe,10.427,False
104,376,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_36.mp4,niqe,10.581,False
105,400,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_36.mp4,niqe,12.497,True
106,401,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_42.mp4,niqe,12.785,True
107,377,pumba_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_pumba_42.mp4,niqe,11.049,False
108,3,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_33.mp4,niqe,5.7786,False
109,27,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_33.mp4,niqe,6.9724,True
110,28,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_39.mp4,niqe,7.0335,True
111,4,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_39.mp4,niqe,5.8102,False
112,29,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_45.mp4,niqe,7.0825,True
113,5,tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_45.mp4,niqe,5.8507,False
114,51,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_44.mp4,niqe,5.5544,False
115,73,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_44.mp4,niqe,6.585,True
116,74,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_50.mp4,niqe,6.7522,True
117,52,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_50.mp4,niqe,5.7204,False
118,75,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_51.mp4,niqe,6.7524,True
119,53,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_51.mp4,niqe,5.732,False
120,450,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_28.mp4,niqe,10.583,True
121,426,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_28.mp4,niqe,8.5187,False
122,427,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_33.mp4,niqe,8.702,False
123,451,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_33.mp4,niqe,10.704,True
124,452,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_38.mp4,niqe,10.888,True
125,428,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_38.mp4,niqe,8.9106,False
126,98,boys_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_boys_29.mp4,niqe,8.963,False
127,122,boys_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_boys_29.mp4,niqe,9.933,True
128,99,boys_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_boys_34.mp4,niqe,8.6175,False
129,123,boys_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_boys_34.mp4,niqe,10.002,True
130,124,boys_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_boys_39.mp4,niqe,10.234,True
131,100,boys_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_boys_39.mp4,niqe,8.5811,False
132,146,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_32.mp4,niqe,5.3443,False
133,169,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_32.mp4,niqe,6.1976,True
134,147,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_34.mp4,niqe,5.2362,False
