,Reference,Distorted,Metric,Metric_val,Mask,Subjective
107,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,vmaf,94.755,False,5.5305848584583055
108,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,vmaf,84.64,False,5.4081835197032735
109,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,vmaf,67.975,False,4.723917251086838
110,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,vmaf,88.973,False,5.579203281635387
111,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,vmaf,74.564,False,5.108962307167965
112,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,vmaf,59.153,False,3.893108075587005
113,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,vmaf,89.051,False,5.541520546818917
114,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,vmaf,76.095,False,4.528711020730032
115,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,vmaf,59.594,False,3.1366945348370097
116,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,vmaf,80.475,False,4.625323443676742
117,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,vmaf,61.043,False,3.185055091647364
118,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,vmaf,29.47,False,0.0
119,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,vmaf,94.384,False,5.296594121085692
120,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,vmaf,84.577,False,5.429375574189711
121,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,vmaf,68.938,False,4.502431206238002
122,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,vmaf,94.403,True,5.673068297172945
123,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,vmaf,84.148,True,5.66340286203501
124,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,vmaf,71.82,True,5.243526334400184
125,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,vmaf,97.984,True,6.346977572482853
126,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,vmaf,89.564,True,6.177970683278712
127,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,vmaf,76.897,True,5.417861161606206
131,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,vmaf,94.849,True,5.5305848584583055
132,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,vmaf,84.743,True,5.4081835197032735
133,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,vmaf,68.016,True,4.723917251086838
134,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,vmaf,89.104,True,5.579203281635387
135,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,vmaf,74.68,True,5.108962307167965
136,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,vmaf,59.118,True,3.893108075587005
137,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,vmaf,89.129,True,5.541520546818917
138,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,vmaf,76.118,True,4.528711020730032
139,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,vmaf,59.502,True,3.1366945348370097
140,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,vmaf,80.548,True,4.625323443676742
141,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,vmaf,61.03,True,3.185055091647364
142,blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,vmaf,29.224,True,0.0
143,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,vmaf,94.429,True,5.296594121085692
144,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,vmaf,84.66,True,5.429375574189711
145,blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,vmaf,68.972,True,4.502431206238002
146,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,psnr,37.939,False,4.256369173647472
148,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,psnr,32.557,False,2.413392476577415
149,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,psnr,32.793,False,5.206694116333419
150,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,psnr,31.972,False,4.583674168014015
151,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,psnr,30.748,False,3.0368390144204147
155,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,psnr,38.104,False,4.707687281577879
156,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,psnr,35.082,False,3.588929372315943
157,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,psnr,32.166,False,2.01268752783576
158,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,psnr,35.667,False,4.168053059852595
159,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,psnr,32.864,False,2.8878827876980804
160,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,psnr,30.774,False,1.6238055834388052
161,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_53.mp4,psnr,34.043,False,3.428521528794996
162,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_61.mp4,psnr,31.445,False,1.8690413135943564
163,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_63.mp4,psnr,30.164,False,1.1787658059386974
164,boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_30.mp4,psnr,34.585,False,3.838110902032029
165,boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_35.mp4,psnr,31.402,False,1.8926543897040995
166,boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_41.mp4,psnr,27.876,False,0.0
167,boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_30.mp4,psnr,37.653,False,4.777004404100672
168,boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_35.mp4,psnr,34.728,False,3.7253738021190266
169,boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_40.mp4,psnr,31.928,False,2.279988939007191
170,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,psnr,42.249,True,4.256369173647472
172,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,psnr,37.303,True,2.413392476577415
173,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,psnr,37.401,True,5.206694116333419
174,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,psnr,36.636,True,4.583674168014015
175,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,psnr,35.484,True,3.0368390144204147
179,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,psnr,42.39,True,4.707687281577879
180,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,psnr,39.676,True,3.588929372315943
181,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,psnr,36.919,True,2.01268752783576
182,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,psnr,40.204,True,4.168053059852595
183,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,psnr,37.59,True,2.8878827876980804
184,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,psnr,35.579,True,1.6238055834388052
185,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_53.mp4,psnr,38.681,True,3.428521528794996
186,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_61.mp4,psnr,36.214,True,1.8690413135943564
187,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_63.mp4,psnr,34.973,True,1.1787658059386974
188,boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_30.mp4,psnr,39.219,True,3.838110902032029
189,boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_35.mp4,psnr,36.198,True,1.8926543897040995
190,boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_41.mp4,psnr,32.747,True,0.0
191,boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_30.mp4,psnr,42.025,True,4.777004404100672
192,boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_35.mp4,psnr,39.388,True,3.7253738021190266
193,boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_40.mp4,psnr,36.735,True,2.279988939007191
194,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,ssim,0.9468,False,4.256369173647472
196,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,ssim,0.8749,False,2.413392476577415
197,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,ssim,0.8666,False,5.206694116333419
198,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,ssim,0.8495,False,4.583674168014015
199,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,ssim,0.8243,False,3.0368390144204147
203,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,ssim,0.9484,False,4.707687281577879
204,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,ssim,0.9152,False,3.588929372315943
205,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,ssim,0.8684,False,2.01268752783576
206,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,ssim,0.9225,False,4.168053059852595
207,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,ssim,0.8809,False,2.8878827876980804
208,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,ssim,0.8404,False,1.6238055834388052
209,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_53.mp4,ssim,0.8949,False,3.428521528794996
210,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_61.mp4,ssim,0.8463,False,1.8690413135943564
211,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_63.mp4,ssim,0.8191,False,1.1787658059386974
212,boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_30.mp4,ssim,0.9116,False,3.838110902032029
213,boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_35.mp4,ssim,0.8514,False,1.8926543897040995
214,boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_41.mp4,ssim,0.7604,False,0.0
215,boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_30.mp4,ssim,0.9476,False,4.777004404100672
216,boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_35.mp4,ssim,0.9139,False,3.7253738021190266
217,boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_40.mp4,ssim,0.8655,False,2.279988939007191
218,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,ssim,0.9474,True,4.256369173647472
220,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,ssim,0.8756,True,2.413392476577415
221,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,ssim,0.8651,True,5.206694116333419
222,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,ssim,0.8482,True,4.583674168014015
223,boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,ssim,0.8231,True,3.0368390144204147
227,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,ssim,0.949,True,4.707687281577879
228,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,ssim,0.9159,True,3.588929372315943
229,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,ssim,0.869,True,2.01268752783576
230,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,ssim,0.9232,True,4.168053059852595
231,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,ssim,0.8817,True,2.8878827876980804
232,boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,ssim,0.8409,True,1.6238055834388052
233,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_53.mp4,ssim,0.8954,True,3.428521528794996
234,boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_61.mp4,ssim,0.8465,True,1.8690413135943564
